pdf,markdown,status,detail
fortinet_ordering_guides/01. Unified OS/og-cloud-next-generation-firewall.pdf,fortinet_ordering_guides/01. Unified OS/og-cloud-next-generation-firewall.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/01. Unified OS/og-data-center-firewall.pdf,fortinet_ordering_guides/01. Unified OS/og-data-center-firewall.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/01. Unified OS/og-fgaas.pdf,fortinet_ordering_guides/01. Unified OS/og-fgaas.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/01. Unified OS/og-fortiproxy.pdf,fortinet_ordering_guides/01. Unified OS/og-fortiproxy.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/01. Unified OS/og-next-generation-firewall.pdf,fortinet_ordering_guides/01. Unified OS/og-next-generation-firewall.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/01. Unified OS/og-secure-sdwan.pdf,fortinet_ordering_guides/01. Unified OS/og-secure-sdwan.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/02. LAN Security/og-fortiextender.pdf,fortinet_ordering_guides/02. LAN Security/og-fortiextender.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/02. LAN Security/og-fortinac.pdf,fortinet_ordering_guides/02. LAN Security/og-fortinac.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/02. LAN Security/og-fortiswitch.pdf,fortinet_ordering_guides/02. LAN Security/og-fortiswitch.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/02. LAN Security/og-lan-edge.pdf,fortinet_ordering_guides/02. LAN Security/og-lan-edge.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/02. LAN Security/og-wireless.pdf,fortinet_ordering_guides/02. LAN Security/og-wireless.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/03. Unified Endpoint/og-forticlient.pdf,fortinet_ordering_guides/03. Unified Endpoint/og-forticlient.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/03. Unified Endpoint/og-fortidlp.pdf,fortinet_ordering_guides/03. Unified Endpoint/og-fortidlp.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/03. Unified Endpoint/og-fortiedr.pdf,fortinet_ordering_guides/03. Unified Endpoint/og-fortiedr.md,converted,pdfplumber; PDF deleted
