category,title,url,filename
01. Unified OS,Cloud NGFW,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-cloud-next-generation-firewall.pdf,og-cloud-next-generation-firewall.pdf
01. Unified OS,DCFW,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-data-center-firewall.pdf,og-data-center-firewall.pdf
01. Unified OS,FortiGate-as-a-Service,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fgaas.pdf,og-fgaas.pdf
01. Unified OS,FortiProxy,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiproxy.pdf,og-fortiproxy.pdf
01. Unified OS,NGFW / Perimeter FW,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-next-generation-firewall.pdf,og-next-generation-firewall.pdf
01. Unified OS,Secure SD-WAN,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-secure-sdwan.pdf,og-secure-sdwan.pdf
02. LAN Security,FortiAP and Wireless Offerings,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-wireless.pdf,og-wireless.pdf
02. LAN Security,FortiExtender,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiextender.pdf,og-fortiextender.pdf
02. LAN Security,FortiGate Secure LAN Controller,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-lan-edge.pdf,og-lan-edge.pdf
02. LAN Security,FortiNAC,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortinac.pdf,og-fortinac.pdf
02. LAN Security,FortiSwitch,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiswitch.pdf,og-fortiswitch.pdf
03. Unified Endpoint,FortiClient,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-forticlient.pdf,og-forticlient.pdf
03. Unified Endpoint,FortiDLP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortidlp.pdf,og-fortidlp.pdf
03. Unified Endpoint,FortiEDR/FortiXDR,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiedr.pdf,og-fortiedr.pdf
03. Unified Endpoint,FortiEndpoint,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiendpoint.pdf,og-fortiendpoint.pdf
04. Unified AppSec and Cloud,Cloud Consulting Services,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-cloud-consult-svc.pdf,og-cloud-consult-svc.pdf
04. Unified AppSec and Cloud,FortiADC,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiadc.pdf,og-fortiadc.pdf
04. Unified AppSec and Cloud,FortiAppSec Cloud,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiappsec.pdf,og-fortiappsec.pdf
04. Unified AppSec and Cloud,FortiCASB-SSPM,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-forticasb-sspm.pdf,og-forticasb-sspm.pdf
04. Unified AppSec and Cloud,FortiCNAPP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-forticnapp.pdf,og-forticnapp.pdf
04. Unified AppSec and Cloud,FortiWeb,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiweb.pdf,og-fortiweb.pdf
05. Unified WorkSpace Security,FortiMail,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortimail.pdf,og-fortimail.pdf
05. Unified WorkSpace Security,FortiMail Workspace Security,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortimail-wss.pdf,og-fortimail-wss.pdf
06. Unified SecOps Platform,FortiAnalyzer,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortianalyzer.pdf,og-fortianalyzer.pdf
06. Unified SecOps Platform,FortiSIEM,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortisiem.pdf,og-fortisiem.pdf
06. Unified SecOps Platform,FortiSOAR,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortisoar.pdf,og-fortisoar.pdf
07. Unified AI-Ops,FortiAIOps,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiaiops.pdf,og-fortiaiops.pdf
07. Unified AI-Ops,FortiMonitor,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortimonitor.pdf,og-fortimonitor.pdf
08. Unified Attack Surface Management,FortiRecon,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortirecon.pdf,og-fortirecon.pdf
08. Unified Attack Surface Management,Incident Response Services,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-ir-services.pdf,og-ir-services.pdf
09. Central Management,FortiCloud SaaS Mgmt and Analytics,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-forticloud-mgmt-analytics.pdf,og-forticloud-mgmt-analytics.pdf
09. Central Management,FortiEdge Cloud,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiedge.pdf,og-fortiedge.pdf
09. Central Management,FortiManager,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortimanager.pdf,og-fortimanager.pdf
10. Advanced Threat Detection,FortiDeceptor,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortideceptor.pdf,og-fortideceptor.pdf
10. Advanced Threat Detection,FortiNDR,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortindr.pdf,og-fortindr.pdf
10. Advanced Threat Detection,FortiSandbox,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortisandbox.pdf,og-fortisandbox.pdf
11. Identity and Access,FortiAuthenticator,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiauthenticator.pdf,og-fortiauthenticator.pdf
11. Identity and Access,FortiIdentity Cloud,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiindentity.pdf,og-fortiindentity.pdf
11. Identity and Access,FortiPAM,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortipam.pdf,og-fortipam.pdf
11. Identity and Access,FortiToken,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortitoken.pdf,og-fortitoken.pdf
11. Identity and Access,ZTNA,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-ztna.pdf,og-ztna.pdf
12. SASE,FortiBranchSASE,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortibranchsase.pdf,og-fortibranchsase.pdf
12. SASE,FortiCASB and FortiGuard CASB Service,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-casb.pdf,og-casb.pdf
12. SASE,FortiSASE,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortisase.pdf,og-fortisase.pdf
12. SASE,FortiSASE Sovereign,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-sovereign-sase.pdf,og-sovereign-sase.pdf
13. Training,NSE Training & Certification Program,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-nse-program.pdf,og-nse-program.pdf
13. Training,Security Awareness and Training & FortiPhish,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-security-awareness-training.pdf,og-security-awareness-training.pdf
14. Flexible Licensing,Cloud Marketplace Private Offers,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-cmpo.pdf,og-cmpo.pdf
14. Flexible Licensing,Enterprise Agreement Program,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-entagreement.pdf,og-entagreement.pdf
14. Flexible Licensing,FortiFlex Program,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-flex-vm.pdf,og-flex-vm.pdf
15. Advanced Support,FortiCare,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-forticare.pdf,og-forticare.pdf
16. Managed Services,FortiGuard SOCaaS,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-socaas.pdf,og-socaas.pdf
16. Managed Services,Managed FortiGate Service,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-mfgs.pdf,og-mfgs.pdf
17. Vertical - Operational Technology,OT,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-operational-technology.pdf,og-operational-technology.pdf
18. Vertical - Others,Education,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-education.pdf,og-education.pdf
18. Vertical - Others,MSSP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-mssp.pdf,og-mssp.pdf
18. Vertical - Others,Telco,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-telco.pdf,og-telco.pdf
19. Other Products and Solutions,FortiAIGate,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiaigate.pdf,og-fortiaigate.pdf
19. Other Products and Solutions,FortiCamera & FortiRecorder,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-forticam.pdf,og-forticam.pdf
19. Other Products and Solutions,FortiDDoS,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiddos.pdf,og-fortiddos.pdf
19. Other Products and Solutions,FortiGate FortiGuard Subscriptions,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiguard.pdf,og-fortiguard.pdf
