category,title,url,local_path,status,detail
01. Unified OS,Cloud NGFW,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-cloud-next-generation-firewall.pdf,01. Unified OS/og-cloud-next-generation-firewall.pdf,downloaded,"682,655 bytes"
01. Unified OS,DCFW,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-data-center-firewall.pdf,01. Unified OS/og-data-center-firewall.pdf,downloaded,"711,088 bytes"
01. Unified OS,FortiGate-as-a-Service,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fgaas.pdf,01. Unified OS/og-fgaas.pdf,downloaded,"393,646 bytes"
01. Unified OS,FortiProxy,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiproxy.pdf,01. Unified OS/og-fortiproxy.pdf,downloaded,"634,633 bytes"
01. Unified OS,NGFW - Perimeter FW,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-next-generation-firewall.pdf,01. Unified OS/og-next-generation-firewall.pdf,downloaded,"358,339 bytes"
01. Unified OS,Secure SD-WAN,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-secure-sdwan.pdf,01. Unified OS/og-secure-sdwan.pdf,downloaded,"1,255,496 bytes"
02. LAN Security,FortiAP and Wireless Offerings,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-wireless.pdf,02. LAN Security/og-wireless.pdf,downloaded,"597,377 bytes"
02. LAN Security,FortiExtender,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiextender.pdf,02. LAN Security/og-fortiextender.pdf,downloaded,"201,200 bytes"
02. LAN Security,FortiGate Secure LAN Controller,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-lan-edge.pdf,02. LAN Security/og-lan-edge.pdf,downloaded,"550,534 bytes"
02. LAN Security,FortiNAC,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortinac.pdf,02. LAN Security/og-fortinac.pdf,downloaded,"527,174 bytes"
02. LAN Security,FortiSwitch,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiswitch.pdf,02. LAN Security/og-fortiswitch.pdf,downloaded,"127,791 bytes"
03. Unified Endpoint,FortiClient,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-forticlient.pdf,03. Unified Endpoint/og-forticlient.pdf,downloaded,"632,760 bytes"
03. Unified Endpoint,FortiDLP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortidlp.pdf,03. Unified Endpoint/og-fortidlp.pdf,downloaded,"87,242 bytes"
03. Unified Endpoint,FortiEDR-FortiXDR,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiedr.pdf,03. Unified Endpoint/og-fortiedr.pdf,downloaded,"327,668 bytes"
03. Unified Endpoint,FortiEndpoint,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiendpoint.pdf,03. Unified Endpoint/og-fortiendpoint.pdf,downloaded,"203,317 bytes"
04. Unified AppSec (and Cloud),Cloud Consulting Services,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-cloud-consult-svc.pdf,04. Unified AppSec and Cloud/og-cloud-consult-svc.pdf,downloaded,"336,302 bytes"
04. Unified AppSec (and Cloud),FortiADC,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiadc.pdf,04. Unified AppSec and Cloud/og-fortiadc.pdf,downloaded,"1,306,618 bytes"
04. Unified AppSec (and Cloud),FortiAppSec Cloud,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiappsec.pdf,04. Unified AppSec and Cloud/og-fortiappsec.pdf,downloaded,"333,474 bytes"
